Date,Strategy_Name,Portfolio_Value,Daily_Return
2024-07-30,QQQ 50 Day SMA w/ Gradient,11789.107528133814,0.028499757589754496
2024-07-31,QQQ 50 Day SMA w/ Gradient,11656.001182194936,-0.01129062107722998
2024-08-01,QQQ 50 Day SMA w/ Gradient,12174.644862452225,0.04449585000467757
2024-08-02,QQQ 50 Day SMA w/ Gradient,13059.353328595718,0.07266811279826464
2024-08-05,QQQ 50 Day SMA w/ Gradient,14247.7676861019,0.0910010111223458
2024-08-06,QQQ 50 Day SMA w/ Gradient,13851.629566933174,-0.027803521779425393
2024-08-07,QQQ 50 Day SMA w/ Gradient,14300.586101991064,0.032411820781696854
2024-08-08,QQQ 50 Day SMA w/ Gradient,12993.330308734263,-0.09141274238227147
2024-08-09,QQQ 50 Day SMA w/ Gradient,12821.5336477677,-0.013221911310226639
2024-08-12,QQQ 50 Day SMA w/ Gradient,12764.421402705288,-0.004454400435345392
2024-08-13,QQQ 50 Day SMA w/ Gradient,12364.696983217369,-0.031315514184074286
2024-08-14,QQQ 50 Day SMA w/ Gradient,12360.464623825343,-0.000342293822304816
2024-08-15,QQQ 50 Day SMA w/ Gradient,12413.25835485387,0.004271176904366958
2024-08-16,QQQ 50 Day SMA w/ Gradient,12409.768490001394,-0.00028114011266919844
2024-08-19,QQQ 50 Day SMA w/ Gradient,12572.72384307511,0.013131216203187789
2024-08-20,QQQ 50 Day SMA w/ Gradient,12558.939268678703,-0.0010963872720388466
2024-08-21,QQQ 50 Day SMA w/ Gradient,12607.978128681598,0.0039046975985619964
2024-08-22,QQQ 50 Day SMA w/ Gradient,12601.678569750571,-0.000499648624603468
2024-08-23,QQQ 50 Day SMA w/ Gradient,12688.88323556755,0.006920083331303636
2024-08-26,QQQ 50 Day SMA w/ Gradient,12691.12303277745,0.0001765164962368622
2024-08-27,QQQ 50 Day SMA w/ Gradient,12693.709056309319,0.00020376632747083536
2024-08-28,QQQ 50 Day SMA w/ Gradient,12759.760460069867,0.005203475474941497
2024-08-29,QQQ 50 Day SMA w/ Gradient,12756.135501911569,-0.00028409296315879155
2024-08-30,QQQ 50 Day SMA w/ Gradient,12813.733387224096,0.004515308363092959
2024-09-03,QQQ 50 Day SMA w/ Gradient,13395.308415575566,0.04538685258828057
2024-09-04,QQQ 50 Day SMA w/ Gradient,13438.36178038044,0.0032140629740792506
2024-09-05,QQQ 50 Day SMA w/ Gradient,13437.962586188563,-2.9705569652119517e-05
2024-09-06,QQQ 50 Day SMA w/ Gradient,14512.596625387398,0.07997001273863764
2024-09-09,QQQ 50 Day SMA w/ Gradient,14118.8343622571,-0.027132447300400868
2024-09-10,QQQ 50 Day SMA w/ Gradient,13927.527153540206,-0.01354978773802324
