date,strategy,portfolio_value,daily_return,tqqq_position,sqqq_position,qqq_close,qqq_open,qqq_high,qqq_low,qqq_volume,ma_50,deviation_pct,cumulative_return
2025-04-21,Buy_Hold_QQQ,8571.097998380188,0.0008556631389326626,1.0,0.0,444.48,438.82,447.58,437.62,52304388,503.42379999999997,-0.11708584298159912,-0.1428902001619812
2025-04-22,Buy_Hold_QQQ,8765.474950827254,0.022678185745140352,1.0,0.0,454.56,458.17,463.38,452.88,55801136,502.432,-0.09528055537863833,-0.12345250491727457
2025-04-23,Buy_Hold_QQQ,9012.109992672295,0.028137099612812435,1.0,0.0,467.35,456.48,467.66,455.83,45956136,501.5092000000001,-0.0681128082994291,-0.09878900073277054
2025-04-24,Buy_Hold_QQQ,9112.57665162559,0.011147961912913189,1.0,0.0,472.56,466.97,473.09,465.39,38697063,500.16020000000003,-0.05518271945668613,-0.08874233483744101
2025-04-25,Buy_Hold_QQQ,9112.57665162559,0.0,1.0,0.0,472.56,466.97,473.09,465.39,38700000,498.1241999999999,-0.05132093562207963,-0.08874233483744101
2025-04-28,Buy_Hold_QQQ,9169.848432257313,0.006284916201117255,1.0,0.0,475.53,470.17,476.4243,469.59,30613120,496.0406,-0.04134863154346643,-0.08301515677426868
2025-04-29,Buy_Hold_QQQ,9168.691426587986,-0.00012617500473144792,1.0,0.0,475.47,467.13,477.2,462.43,46810610,493.9224,-0.037358904961589015,-0.0831308573412014
2025-04-30,Buy_Hold_QQQ,9288.44151336341,0.013060760931288997,1.0,0.0,481.68,483.41,487.18,480.74,43316539,491.78520000000003,-0.020547995344308907,-0.07115584866365898
2025-05-01,Buy_Hold_QQQ,9426.318022291638,0.014843879754193608,1.0,0.0,488.83,486.54,490.91,484.83,39218082,490.6468,-0.003702867317182137,-0.057368197770836196
2025-05-02,Buy_Hold_QQQ,9426.318022291638,0.0,1.0,0.0,488.83,486.54,490.91,484.83,39220000,488.9854,-0.00031780089957704835,-0.057368197770836196
2025-05-05,Buy_Hold_QQQ,9283.234987851436,-0.015179101118998341,1.0,0.0,481.41,479.56,485.05,478.19,32786310,487.5136,-0.012519855856328874,-0.0716765012148564
2025-05-06,Buy_Hold_QQQ,9319.68066643526,0.003925967470555215,1.0,0.0,483.3,482.08,485.8,476.782,38109864,486.03560000000004,-0.0056283942986893,-0.06803193335647392
2025-05-07,Buy_Hold_QQQ,9415.904971267688,0.010324849989654477,1.0,0.0,488.29,488.53,492.7,484.17,39577592,484.4672,0.007890730270284613,-0.05840950287323121
2025-05-08,Buy_Hold_QQQ,9409.734274364608,-0.0006553482561592357,1.0,0.0,487.97,490.21,491.54,486.195,27767416,482.86400000000003,0.010574406043937825,-0.05902657256353923
2025-05-09,Buy_Hold_QQQ,9409.734274364608,0.0,1.0,0.0,487.97,490.21,491.54,486.2,27770000,480.98460000000006,0.01452312610424527,-0.05902657256353923
2025-05-12,Buy_Hold_QQQ,9942.342550811829,0.05660184027706622,1.0,0.0,515.59,509.16,517.39,508.42,53269573,479.07919999999996,0.07621036354740526,-0.005765744918817109
2025-05-13,Buy_Hold_QQQ,10001.928342782207,0.005993134079404019,1.0,0.0,518.68,516.77,519.2279,515.75,47014516,477.1707999999999,0.08699023494312746,0.00019283427822065278
2025-05-14,Buy_Hold_QQQ,10012.91989664082,0.0010989434718902793,1.0,0.0,519.25,516.52,521.93,515.17,50153275,475.0884,0.09295449015383248,0.0012919896640820297
2025-05-15,Buy_Hold_QQQ,10056.500443518831,0.00435243139142993,1.0,0.0,521.51,520.66,521.7,517.1,48394603,473.4564,0.10149530136249087,0.005650044351883116
2025-05-16,Buy_Hold_QQQ,10056.500443518831,0.0,1.0,0.0,521.51,520.66,521.7,517.1,48390000,472.02600000000007,0.10483320834021836,0.005650044351883116
2025-05-19,Buy_Hold_QQQ,10032.58899301939,-0.0023777108780272845,1.0,0.0,520.27,519.47,520.93,516.66,42517561,470.97560000000004,0.10466444546171805,0.0032588993019389816
2025-05-20,Buy_Hold_QQQ,9893.169809865392,-0.013896630595652293,1.0,0.0,513.04,516.27,523.0,511.24,71292831,470.1604,0.09120206635862992,-0.010683019013460762
2025-05-21,Buy_Hold_QQQ,9911.681900574638,0.001871199126773812,1.0,0.0,514.0,513.66,517.71,512.3,55607169,469.3204,0.09520063479022006,-0.008831809942536165
2025-05-22,Buy_Hold_QQQ,9819.8927841413,-0.00926070038910504,1.0,0.0,509.24,506.18,511.84,505.58,58368075,468.7632,0.08634807510487177,-0.018010721585869943
2025-05-23,Buy_Hold_QQQ,9819.8927841413,0.0,1.0,0.0,509.24,506.18,511.84,505.58,58370000,468.1104,0.08786303401932531,-0.018010721585869943
2025-05-27,Buy_Hold_QQQ,10006.363531181294,0.018989081768910454,1.0,0.0,518.91,522.18,523.68,518.39,46637175,467.4564,0.11007144195693973,0.0006363531181294092
2025-05-28,Buy_Hold_QQQ,10026.032627559865,0.0019656587847603282,1.0,0.0,519.93,526.33,526.48,517.32,58724069,467.149,0.11298536441263911,0.002603262755986543
2025-05-29,Buy_Hold_QQQ,10010.22021674572,-0.0015771353836092096,1.0,0.0,519.11,519.44,520.68,511.93,67662836,467.0146000000001,0.11154983163267256,0.001022021674571988
2025-05-30,Buy_Hold_QQQ,10010.22021674572,0.0,1.0,0.0,519.11,519.44,520.68,511.93,67660000,466.75100000000003,0.11217758505070151,0.001022021674571988
2025-06-02,Buy_Hold_QQQ,10168.15149060896,0.015777002947352084,1.0,0.0,527.3,523.56,528.74,522.69,44070330,466.70560000000006,0.1298343109660563,0.016815149060895963
